Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.hfpappexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 2/13/2025; downloaded 3/24/2025.,,
Data was truncated to the first two columns for file size purposes.,,
It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations.,,
,,
CAS Reg No (or other ID),Substance,Used for (Technical Effect)
 977164-02-5, ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT, ENZYME
 28060-90-4, ACETOLEIN,
 67-64-1, ACETONE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE,<br /> WASHING OR SURFACE REMOVAL AGENT"
 1336-17-0, ACETONE PEROXIDES,
 98-86-2, ACETOPHENONE," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE"
 27177-85-1, ACETOSTEARIN,
 72541-09-4, 6-ACETOXYDIHYDROTHEASPIRANE, FLAVORING AGENT OR ADJUVANT
 4166-20-5," 4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 1608-72-6, (+/-)-1-ACETOXY-1-ETHOXYETHANE, FLAVORING AGENT OR ADJUVANT
 3572-06-3, 4-(P-ACETOXYPHENYL)-2-BUTANONE, FLAVORING AGENT OR ADJUVANT
 164524-93-0," 5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE", FLAVORING AGENT OR ADJUVANT
 22940-86-9," 2-ACETYL-3,5-DIMETHYLFURAN", FLAVORING AGENT OR ADJUVANT
 10599-70-9," 3-ACETYL-2,5-DIMETHYLFURAN", FLAVORING AGENT OR ADJUVANT
 36871-78-0," 4-ACETYL-2,5-DIMETHYL-3(2H)-FURANONE", FLAVORING AGENT OR ADJUVANT
 977043-63-2," 2-ACETYL-3, 5(OR 6)-DIMETHYLPYRAZINE, MIXTURE OF ISOMERS"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 32974-92-8, 2-ACETYL-3-ETHYLPYRAZINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 142896-11-5, 2-ACETYL-4-ISOPROPENYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 142896-12-6, 4-ACETYL-2-ISOPROPENYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 142896-09-1, 2-ACETYL-4-ISOPROPYLPYRIDINE, FLAVORING AGENT OR ADJUVANT
 136954-25-1, 3-ACETYLMERCAPTOHEXYL ACETATE, FLAVORING AGENT OR ADJUVANT
 65-82-7, N-ACETYL-L-METHIONINE, NUTRIENT SUPPLEMENT
 4906-24-5, ACETYL METHYL CARBINYL ACETATE, FLAVORING AGENT OR ADJUVANT
 1193-79-9, 2-ACETYL-5-METHYLFURAN," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 23787-80-6, 2-ACETYL-3-METHYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 67860-38-2, 4-ACETYL-2-METHYLPYRIMIDINE, FLAVORING AGENT OR ADJUVANT
 13679-74-8, 2-ACETYL-5-METHYLTHIOPHENE, FLAVORING AGENT OR ADJUVANT
 22047-25-2, ACETYLPYRAZINE, FLAVORING AGENT OR ADJUVANT
 1122-62-9, 2-ACETYLPYRIDINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 350-03-8, 3-ACETYLPYRIDINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 99583-29-6, 2-ACETYL-1-PYRROLINE, FLAVORING AGENT OR ADJUVANT
 13171-00-1," 4-ACETYL-6-TERT-BUTYL-1,1-DIMETHYLINDANE", FLAVORING AGENT OR ADJUVANT
 24295-03-2, 2-ACETYLTHIAZOLE," ANTIOXIDANT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 29926-41-8, 2-ACETYL-2-THIAZOLINE, FLAVORING AGENT OR ADJUVANT
 55764-25-5, 3-(ACETYLTHIO)-2-METHYLFURAN, FLAVORING AGENT OR ADJUVANT
 107-02-8, ACROLEIN, ANTIMICROBIAL AGENT
 9003-06-9, ACRYLAMIDE-ACRYLIC ACID RESIN," FLAVORING AGENT OR ADJUVANT,<br /> SURFACE-FINISHING AGENT"
 25085-02-3, ACRYLAMIDE-SODIUM ACRYLATE RESIN, BOILER WATER ADDITIVE
 40623-75-4, ACRYLIC ACID-2-ACRYLAMIDO-2-METHYL PROPANE SULFONIC ACID COPOLYMER, BOILER WATER ADDITIVE
 64365-11-3, ACTIVATED CARBON, PROCESSING AID
 2035-75-8, ADIPIC ANHYDRIDE," FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT"
 714229-20-6, ADVANTAME, NON-NUTRITIVE SWEETENER
 107-95-9, BETA-ALANINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
 302-72-7, DL-ALANINE, FLAVORING AGENT OR ADJUVANT
 56-41-7, L-ALANINE, NUTRIENT SUPPLEMENT
 39537-23-0, L-ALANYL-L-GLUTAMINE, FLAVORING AGENT OR ADJUVANT
 977005-72-3, ALBUMIN," FIRMING AGENT,<br /> FORMULATION AID,<br /> NUTRIENT SUPPLEMENT,<br /> PROCESSING AID,<br /> PROPELLANT,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> SURFACE-FINISHING AGENT,<br /> TEXTURIZER"
 977021-64-9," ALCOHOL, DENATURED FORMULA 23A", PROCESSING AID
 977021-59-2, ALCOHOL SDA-3A, PROCESSING AID
 84082-36-0," ALFALFA, EXTRACT (MEDICAGO SATIVA L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977092-93-5," ALFALFA, HERB AND SEED (MEDICAGO SATIVA L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977161-38-8," ALGAE, BROWN, EXTRACT (MACROCYSTIS AND LAMINARIA SPP.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977090-04-2," ALGAE, RED, EXTRACT (PORPHYRA SPP. AND GLOIOPELTIS FURCATA AND RHODYMENIA PALMATA (L.))"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 12698-40-7," ALGINATE, SODIUM CALCIUM"," EMULSIFIER OR EMULSIFIER SALT,<br /> FIRMING AGENT,<br /> FLAVOR ENHANCER,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SURFACE-ACTIVE AGENT,<br /> TEXTURIZER"
 9005-32-7, ALGINIC ACID," EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> STABILIZER OR THICKENER"
 23444-65-7," ALKANET ROOT, EXTRACT (ALKANNA TINCTORIA TAUSCH)--NLFG",
 68603-42-9, ALKANOLAMIDE OF COCONUT OIL FATTY ACIDS AND DIETHANOLAMINE, PROCESSING AID
 977043-74-5," ALKYLENE OXIDE ADDUCTS OF ALKYL ALCOHOLS/PHOSPHATE ESTERS OF SAME, MIXTURE",
 977075-63-0, N-ALKYL(C8-C18 FROM COCONUT OIL) AMINE ACETATE,
 977044-31-7, ALPHA-ALKYL-OMEGA-HYDROXY-POLY(OXYETHYLENE), PROCESSING AID
 977051-72-1, ALLSPICE (PIMENTA OFFICINALIS LINDL.)," COLOR OR COLORING ADJUNCT,<br /> FLAVORING AGENT OR ADJUVANT"
 8006-77-7," ALLSPICE, OIL (PIMENTA OFFICINALIS LINDL.)", FLAVORING AGENT OR ADJUVANT
 977017-87-0," ALLSPICE, OLEORESIN (PIMENTA OFFICINALIS LINDL.)", FLAVORING AGENT OR ADJUVANT
 79-78-7, ALLYL ALPHA-IONONE, FLAVORING AGENT OR ADJUVANT
 7493-63-2, ALLYL ANTHRANILATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2051-78-7, ALLYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 1866-31-5, ALLYL CINNAMATE, FLAVORING AGENT OR ADJUVANT
 20474-93-5, ALLYL CROTONATE, FLAVORING AGENT OR ADJUVANT
 4728-82-9, ALLYL CYCLOHEXANEACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7493-65-4, ALLYL CYCLOHEXANEBUTYRATE, FLAVORING AGENT OR ADJUVANT
 7493-66-5, ALLYL CYCLOHEXANEHEXANOATE, FLAVORING AGENT OR ADJUVANT
 2705-87-5, ALLYL CYCLOHEXANEPROPIONATE, FLAVORING AGENT OR ADJUVANT
 7493-68-7, ALLYL CYCLOHEXANEVALERATE, FLAVORING AGENT OR ADJUVANT
 21593-77-1, S-ALLYL-L-CYSTEINE, FLAVORING AGENT OR ADJUVANT
 6627-88-9," 4-ALLYL-2,6-DIMETHOXYPHENOL", FLAVORING AGENT OR ADJUVANT
 2179-57-9, ALLYL DISULFIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7493-69-8, ALLYL 2-ETHYLBUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4208-49-5, ALLYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 142-19-8, ALLYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 123-68-2, ALLYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 977075-30-1, ALLYL HEXENOATE,
 2835-39-4, ALLYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 870-23-5, ALLYL MERCAPTAN," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2179-58-0, ALLYL METHYL DISULFIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 34135-85-8, ALLYL METHYL TRISULFIDE, FLAVORING AGENT OR ADJUVANT
 7493-72-3, ALLYL NONANOATE, FLAVORING AGENT OR ADJUVANT
 4230-97-1, ALLYL OCTANOATE, FLAVORING AGENT OR ADJUVANT
 501-92-8, 4-ALLYLPHENOL, FLAVORING AGENT OR ADJUVANT
 7493-74-5, ALLYL PHENOXYACETATE, FLAVORING AGENT OR ADJUVANT
 1797-74-6, ALLYL PHENYLACETATE, FLAVORING AGENT OR ADJUVANT
 2408-20-0, ALLYL PROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 2179-59-1, ALLYL PROPYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 7493-75-6, ALLYL SORBATE, FLAVORING AGENT OR ADJUVANT
 592-88-1, ALLYL SULFIDE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 156420-69-8, ALLYL THIOHEXANOATE, FLAVORING AGENT OR ADJUVANT
 41820-22-8, ALLYL THIOPROPIONATE," FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT"
 7493-71-2, ALLYL TIGLATE, FLAVORING AGENT OR ADJUVANT
 7493-76-7, ALLYL 10-UNDECENOATE, FLAVORING AGENT OR ADJUVANT
 6321-45-5, ALLYL VALERATE, FLAVORING AGENT OR ADJUVANT
 8013-76-1," ALMOND, BITTER, OIL (FFPA) (PRUNUS SPP.)", FLAVORING AGENT OR ADJUVANT
 84837-08-1," ALOE, EXTRACT (ALOE SPP.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7493-80-3, ALPHA-AMYLCINNAMYL ISOVALERATE, FLAVORING AGENT OR ADJUVANT
 10031-86-4, ALPHA-ETHYL BENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 977174-28-9," ALPHA-HYDRO-OMEGA-HYDROXY POLY(OXYETHYLENE) POLY(OXYPROPYLENE) POLY(OXYETHYLENE) (15 MOLE MINIMUM) BLOCKED COPOLYMER, LOW ERUCIC ACID RAPESEED OIL POLYMERS", SURFACE-ACTIVE AGENT
 7779-78-4, ALPHA-ISOBUTYLPHENETHYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 3460-44-4, ALPHA-METHYLBENZYL BUTYRATE, FLAVORING AGENT OR ADJUVANT
 7775-39-5, ALPHA-METHYLBENZYL ISOBUTYRATE, FLAVORING AGENT OR ADJUVANT
 4345-03-3, ALPHA-TOCOPHEROL ACID SUCCINATE, NUTRIENT SUPPLEMENT
 977052-71-3, ALTHEA FLOWERS (ALTHEA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 977005-75-6, ALTHEA ROOT (ALTHEA OFFICINALIS L.), FLAVORING AGENT OR ADJUVANT
 977007-61-6," ALUM (DOUBLE SULFATE OF AL AND NH4, K, OR NA)", FIRMING AGENT
 22620-93-5, ALUMINUM CAPRATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 6028-57-5, ALUMINUM CAPRYLATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 7230-93-5, ALUMINUM LAURATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 4040-50-0, ALUMINUM MYRISTATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 1976-28-9, ALUMINUM NICOTINATE, NUTRIENT SUPPLEMENT
 977089-51-2, ALUMINUM SALTS OF FATTY ACIDS," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 637-12-7, ALUMINUM STEARATE," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID"
 977023-08-7," AMBERGRIS, TINCTURE", FLAVORING AGENT OR ADJUVANT
 977017-79-0," AMBRETTE, ABSOLUTE, OIL (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
 977052-20-2, AMBRETTE SEED (HIBISCUS ABELMOSCHUS L.), FLAVORING AGENT OR ADJUVANT
 8015-62-1," AMBRETTE SEED, OIL (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
 977017-78-9," AMBRETTE, TINCTURE (HIBISCUS ABELMOSCHUS L.)", FLAVORING AGENT OR ADJUVANT
 78-96-6, 1-AMINO-2-PROPANOL, FLAVORING AGENT OR ADJUVANT
 551-93-9, 2'-AMINOACETOPHENONE, FLAVORING AGENT OR ADJUVANT
 150-13-0, P-AMINOBENZOIC ACID, NUTRIENT SUPPLEMENT
 56-12-2, 4-AMINOBUTYRIC ACID, FLAVORING AGENT OR ADJUVANT
 3493-12-7, DL-(3-AMINO-3-CARBOXYPROPYL)DIMETHYLSULFONIUM CHLORIDE, FLAVORING AGENT OR ADJUVANT
 121746-18-7," 4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE", FLAVORING AGENT OR ADJUVANT
 1033366-59-4," 4-AMINO-5,6-DIMETHYLTHIENO[2,3-D]PYRIMIDIN-2(1H)-ONE HYDROCHLORIDE", FLAVORING AGENT OR ADJUVANT
 1093200-92-0," 3-[(4-AMINO-2,2-DIOXIDO-1H-2,1,3-BENZOTHIADIAZIN-5-YL)OXY]-2,2-DIMETHYL-N-PROPYLPROPANAMIDE", FLAVORING AGENT OR ADJUVANT
 58943-39-8, AMINOGLYCOSIDE 3'-PHOSPHOTRANSFERASE II, ENZYME
 977172-57-8, AMINOPEPTIDASE FROM LACTOCOCCUS LACTIS, ENZYME
 20592-85-2," AMINO TRI(METHYLENE PHOSPHONIC ACID), SODIUM SALT",
 977188-02-5, AMMONIA (ALSO INCLUDES AMMONIUM CHLORIDE), FLAVORING AGENT OR ADJUVANT
 631-61-8, AMMONIUM ACETATE,
 9005-42-9, AMMONIUM CASEINATE,
 3012-65-5," AMMONIUM CITRATE, DIBASIC", LUBRICANT OR RELEASE AGENT
 2554-04-3, AMMONIUM GLUCONATE,
 7563-33-9, AMMONIUM ISOVALERATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 83046-90-6, AMMONIUM PECTINATE,
 7727-54-0, AMMONIUM PERSULFATE," ANTIMICROBIAL AGENT,<br /> FUMIGANT"
 12135-76-1, AMMONIUM SULFIDE," ANTIOXIDANT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 10196-04-0, AMMONIUM SULFITE, COLOR OR COLORING ADJUNCT
 71-41-0, AMYL ALCOHOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 98002-53-0, ALPHA-AMYLASE ENZYME PREPARATION FROM BACILLUS STEAROTHERMOPHILUS, ENZYME
 977032-05-5, AMYLASE FROM ASPERGILLUS FLAVUS," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PROCESSING AID"
 977031-46-1, AMYLASE FROM ASPERGILLUS NIGER," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PROCESSING AID"
 977082-95-3, AMYLASE FROM ASPERGILLUS ORYZAE," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PROCESSING AID"
 977028-31-1, AMYLASE FROM BACILLUS SUBTILIS," ENZYME,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LEAVENING AGENT,<br /> PROCESSING AID"
 540-18-1, AMYL BUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 122-40-7, ALPHA-AMYLCINNAMALDEHYDE, FLAVORING AGENT OR ADJUVANT
 91-87-2, ALPHA-AMYLCINNAMALDEHYDE DIMETHYL ACETAL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7493-78-9, ALPHA-AMYLCINNAMYL ACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 101-85-9, ALPHA-AMYLCINNAMYL ALCOHOL," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7493-79-0, ALPHA-AMYLCINNAMYL FORMATE, FLAVORING AGENT OR ADJUVANT
 5933-87-9, AMYL DECANOATE, FLAVORING AGENT OR ADJUVANT
 638-49-3, AMYL FORMATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 4996-48-9, AMYL 2-FUROATE, FLAVORING AGENT OR ADJUVANT
 7493-82-5, AMYL HEPTANOATE, FLAVORING AGENT OR ADJUVANT
 540-07-8, AMYL HEXANOATE, FLAVORING AGENT OR ADJUVANT
 629-12-9, AMYL ISOTHIOCYANATE, FLAVORING AGENT OR ADJUVANT
 72437-68-4, AMYL METHYL DISULFIDE, FLAVORING AGENT OR ADJUVANT
 638-25-5, AMYL OCTANOATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977080-40-2, AMYLOGLUCOSIDASE FROM RHIZOPUS NIVEUS," ENZYME,<br /> MALTING OR FERMENTING AID,<br /> PROCESSING AID"
 65504-96-3," 2-AMYL-5 OR 6-KETO-1,4-DIOXANE", FLAVORING AGENT OR ADJUVANT
 2050-08-0, AMYL SALICYLATE,
 977059-69-0, AMYRIS (AMYRIS BALSAMIFERA L.), FLAVORING AGENT OR ADJUVANT
 8015-65-4," AMYRIS, OIL (AMYRIS BALSAMIFERA L.)", FLAVORING AGENT OR ADJUVANT
 27939-60-2," (2,4)- AND (3,5)- AND (3,6)-DIMETHYL-3-CYCLOHEXENYLCARBALDEHYDE", FLAVORING AGENT OR ADJUVANT
 4180-23-8, TRANS-ANETHOLE, FLAVORING AGENT OR ADJUVANT
 977050-05-7, ANGELICA (ANGELICA SPP.), FLAVORING AGENT OR ADJUVANT
 591-11-7, BETA-ANGELICALACTONE, FLAVORING AGENT OR ADJUVANT
 977050-06-8, ANGELICA ROOT (ANGELICA SPP.)," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 977032-49-7," ANGELICA ROOT, EXTRACT (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 8015-64-3," ANGELICA ROOT, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 977050-07-9, ANGELICA SEED (ANGELICA SPP.),
 977032-50-0," ANGELICA SEED, EXTRACT (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 977050-08-0," ANGELICA SEED, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 977032-48-6," ANGELICA STEM, OIL (ANGELICA ARCHANGELICA L.)", FLAVORING AGENT OR ADJUVANT
 977038-44-0, ANGOLA WEED (ROCCELLA FUCIFORMIS ACH.), FLAVORING AGENT OR ADJUVANT
 977000-22-8, ANGOSTURA (GALIPEA OFFINCINALIS HANCOCK), FLAVORING AGENT OR ADJUVANT
 68916-12-1," ANGOSTURA, EXTRACT (GALIPEA OFFICINALIS HANCOCK)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 6414-32-0, ANISALDEHYDE PROPYLENEGLYCOL ACETAL, FLAVORING AGENT OR ADJUVANT
 977007-65-0, ANISE (PIMPINELLA ANISUM L.), FLAVORING AGENT OR ADJUVANT
 8007-70-3," ANISE, OIL (PIMPINELLA ANISUM L.)", FLAVORING AGENT OR ADJUVANT
 977052-16-6," ANISE, STAR (ILLICIUM VERUM HOOK, F.)", FLAVORING AGENT OR ADJUVANT
 68952-43-2," ANISE, STAR, OIL (ILLICIUM VERUM HOOK, F.)", FLAVORING AGENT OR ADJUVANT
 1335-08-6, ANISIC ACID," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 100-66-3, ANISOLE, FLAVORING AGENT OR ADJUVANT
 104-21-2, ANISYL ACETATE, FLAVORING AGENT OR ADJUVANT
 105-13-5, ANISYL ALCOHOL, FLAVORING AGENT OR ADJUVANT
 6963-56-0, ANISYL BUTYRATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 122-91-8, ANISYL FORMATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 102-17-0, ANISYL PHENYLACETATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 7549-33-9, ANISYL PROPIONATE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1393-63-1," ANNATTO, EXTRACT (BIXA ORELLANA L.)"," COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> PROCESSING AID,<br /> SURFACE-FINISHING AGENT"
 60837-57-2, ANOXOMER, ANTIOXIDANT
 69013-20-3," ANTHRACITE COAL, SULFONATED"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 1107-26-2, BETA-APO-8'-CAROTENAL, COLOR OR COLORING ADJUNCT
 977090-73-5," APPLE ESSENCE, NATURAL", FLAVORING AGENT OR ADJUVANT
 72869-69-3," APRICOT KERNEL, OIL (PRUNUS ARMENIACA L.)", FLAVORING AGENT OR ADJUVANT
 9036-66-2, ARABINOGALACTAN," EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> NUTRIENT SUPPLEMENT,<br /> PROCESSING AID,<br /> STABILIZER OR THICKENER,<br /> SYNERGIST,<br /> TEXTURIZER"
 5328-37-0, L-ARABINOSE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 74-79-3, L-ARGININE, NUTRIENT SUPPLEMENT
 977000-27-3, ARNICA FLOWERS (ARNICA SPP.), FLAVORING AGENT OR ADJUVANT
 977052-73-5, ARTEMISIA (ARTEMISIA SPP.), FLAVORING AGENT OR ADJUVANT
 977032-37-3, ARTEMISIA EXTRACT, FLAVORING AGENT OR ADJUVANT
 8008-93-3, ARTEMISIA OIL, FLAVORING AGENT OR ADJUVANT
 977038-45-1, ARTICHOKE LEAVES (CYNARA SCOLYMUS L.), FLAVORING AGENT OR ADJUVANT
 977038-46-2," ASAFETIDA, FLUID EXTRACT (FERULA ASSAFOETIDA L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 9000-04-8," ASAFETIDA, GUM (FERULA ASSAFOETIDA L.)", FLAVORING AGENT OR ADJUVANT
 72869-70-6," ASAFETIDA, OIL (FERULA ASSAFOETIDA L.)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT"
 25395-66-8, ASCORBYL STEARATE, ANTIOXIDANT
 70-47-3, L-ASPARAGINE," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT"
